,model,AMFR_HUMAN_Tsuboyama_2023_4G3O_all,AMFR_HUMAN_Tsuboyama_2023_4G3O_epistatic,BBC1_YEAST_Tsuboyama_2023_1TG0_all,BBC1_YEAST_Tsuboyama_2023_1TG0_epistatic,BCHB_CHLTE_Tsuboyama_2023_2KRU_all,BCHB_CHLTE_Tsuboyama_2023_2KRU_epistatic,CATR_CHLRE_Tsuboyama_2023_2AMI_all,CATR_CHLRE_Tsuboyama_2023_2AMI_epistatic,CBPA2_HUMAN_Tsuboyama_2023_1O6X_all,CBPA2_HUMAN_Tsuboyama_2023_1O6X_epistatic,CBX4_HUMAN_Tsuboyama_2023_2K28_all,CBX4_HUMAN_Tsuboyama_2023_2K28_epistatic,CSN4_MOUSE_Tsuboyama_2023_1UFM_all,CSN4_MOUSE_Tsuboyama_2023_1UFM_epistatic,CUE1_YEAST_Tsuboyama_2023_2MYX_all,CUE1_YEAST_Tsuboyama_2023_2MYX_epistatic,DNJA1_HUMAN_Tsuboyama_2023_2LO1_all,DNJA1_HUMAN_Tsuboyama_2023_2LO1_epistatic,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_all,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_epistatic,EPHB2_HUMAN_Tsuboyama_2023_1F0M_all,EPHB2_HUMAN_Tsuboyama_2023_1F0M_epistatic,FECA_ECOLI_Tsuboyama_2023_2D1U_all,FECA_ECOLI_Tsuboyama_2023_2D1U_epistatic,HECD1_HUMAN_Tsuboyama_2023_3DKM_all,HECD1_HUMAN_Tsuboyama_2023_3DKM_epistatic,ISDH_STAAW_Tsuboyama_2023_2LHR_all,ISDH_STAAW_Tsuboyama_2023_2LHR_epistatic,MAFG_MOUSE_Tsuboyama_2023_1K1V_all,MAFG_MOUSE_Tsuboyama_2023_1K1V_epistatic,MBD11_ARATH_Tsuboyama_2023_6ACV_all,MBD11_ARATH_Tsuboyama_2023_6ACV_epistatic,MYO3_YEAST_Tsuboyama_2023_2BTT_all,MYO3_YEAST_Tsuboyama_2023_2BTT_epistatic,NKX31_HUMAN_Tsuboyama_2023_2L9R_all,NKX31_HUMAN_Tsuboyama_2023_2L9R_epistatic,NUSA_ECOLI_Tsuboyama_2023_1WCL_all,NUSA_ECOLI_Tsuboyama_2023_1WCL_epistatic,NUSG_MYCTU_Tsuboyama_2023_2MI6_all,NUSG_MYCTU_Tsuboyama_2023_2MI6_epistatic,OBSCN_HUMAN_Tsuboyama_2023_1V1C_all,OBSCN_HUMAN_Tsuboyama_2023_1V1C_epistatic,ODP2_GEOSE_Tsuboyama_2023_1W4G_all,ODP2_GEOSE_Tsuboyama_2023_1W4G_epistatic,PIN1_HUMAN_Tsuboyama_2023_1I6C_all,PIN1_HUMAN_Tsuboyama_2023_1I6C_epistatic,PITX2_HUMAN_Tsuboyama_2023_2L7M_all,PITX2_HUMAN_Tsuboyama_2023_2L7M_epistatic,POLG_PESV_Tsuboyama_2023_2MXD_all,POLG_PESV_Tsuboyama_2023_2MXD_epistatic,PR40A_HUMAN_Tsuboyama_2023_1UZC_all,PR40A_HUMAN_Tsuboyama_2023_1UZC_epistatic,PSAE_SYNP2_Tsuboyama_2023_1PSE_all,PSAE_SYNP2_Tsuboyama_2023_1PSE_epistatic,RAD_ANTMA_Tsuboyama_2023_2CJJ_all,RAD_ANTMA_Tsuboyama_2023_2CJJ_epistatic,RBP1_HUMAN_Tsuboyama_2023_2KWH_all,RBP1_HUMAN_Tsuboyama_2023_2KWH_epistatic,RCD1_ARATH_Tsuboyama_2023_5OAO_all,RCD1_ARATH_Tsuboyama_2023_5OAO_epistatic,RCRO_LAMBD_Tsuboyama_2023_1ORC_all,RCRO_LAMBD_Tsuboyama_2023_1ORC_epistatic,RD23A_HUMAN_Tsuboyama_2023_1IFY_all,RD23A_HUMAN_Tsuboyama_2023_1IFY_epistatic,RFAH_ECOLI_Tsuboyama_2023_2LCL_all,RFAH_ECOLI_Tsuboyama_2023_2LCL_epistatic,RL20_AQUAE_Tsuboyama_2023_1GYZ_all,RL20_AQUAE_Tsuboyama_2023_1GYZ_epistatic,RPC1_BP434_Tsuboyama_2023_1R69_all,RPC1_BP434_Tsuboyama_2023_1R69_epistatic,SAV1_MOUSE_Tsuboyama_2023_2YSB_all,SAV1_MOUSE_Tsuboyama_2023_2YSB_epistatic,SDA_BACSU_Tsuboyama_2023_1PV0_all,SDA_BACSU_Tsuboyama_2023_1PV0_epistatic,SPA_STAAU_Tsuboyama_2023_1LP1_all,SPA_STAAU_Tsuboyama_2023_1LP1_epistatic,SPG2_STRSG_Tsuboyama_2023_5UBS_all,SPG2_STRSG_Tsuboyama_2023_5UBS_epistatic,SPTN1_CHICK_Tsuboyama_2023_1TUD_all,SPTN1_CHICK_Tsuboyama_2023_1TUD_epistatic,SR43C_ARATH_Tsuboyama_2023_2N88_all,SR43C_ARATH_Tsuboyama_2023_2N88_epistatic,SRBS1_HUMAN_Tsuboyama_2023_2O2W_all,SRBS1_HUMAN_Tsuboyama_2023_2O2W_epistatic,TCRG1_MOUSE_Tsuboyama_2023_1E0L_all,TCRG1_MOUSE_Tsuboyama_2023_1E0L_epistatic,THO1_YEAST_Tsuboyama_2023_2WQG_all,THO1_YEAST_Tsuboyama_2023_2WQG_epistatic,TNKS2_HUMAN_Tsuboyama_2023_5JRT_all,TNKS2_HUMAN_Tsuboyama_2023_5JRT_epistatic,UBE4B_HUMAN_Tsuboyama_2023_3L1X_all,UBE4B_HUMAN_Tsuboyama_2023_3L1X_epistatic,UBR5_HUMAN_Tsuboyama_2023_1I2T_all,UBR5_HUMAN_Tsuboyama_2023_1I2T_epistatic,VILI_CHICK_Tsuboyama_2023_1YU5_all,VILI_CHICK_Tsuboyama_2023_1YU5_epistatic,YAIA_ECOLI_Tsuboyama_2023_2KVT_all,YAIA_ECOLI_Tsuboyama_2023_2KVT_epistatic,YNZC_BACSU_Tsuboyama_2023_2JVD_all,YNZC_BACSU_Tsuboyama_2023_2JVD_epistatic
59,ProtSSN_ProtSSN_k10_h768,-0.05,-0.05,-0.09,0.03,0.26,0.25,0.51,0.49,0.34,0.38,0.21,0.20,0.36,0.37,0.39,0.35,0.02,0.04,0.29,0.25,0.29,0.34,0.39,0.36,0.09,0.08,0.32,0.28,-0.15,-0.15,0.35,0.33,0.51,0.51,0.17,0.12,0.53,0.44,0.26,0.32,0.68,0.66,0.10,0.08,0.36,0.36,0.33,0.28,0.54,0.53,0.45,0.38,,,0.36,0.58,0.22,0.28,-0.13,-0.17,0.05,-0.13,0.50,0.50,-0.10,-0.10,0.67,0.67,0.19,0.06,0.07,0.04,0.20,0.22,0.02,0.02,-0.20,-0.32,0.56,0.57,0.37,0.37,0.47,0.44,0.59,0.58,-0.11,-0.12,0.13,0.24,0.22,0.24,0.44,0.37,0.02,-0.03,0.09,0.09,0.29,0.26
60,ProtSSN_ProtSSN_k20_h768,-0.02,-0.02,-0.03,0.08,0.24,0.23,0.69,0.66,0.39,0.43,0.45,0.43,0.51,0.51,0.38,0.35,0.21,0.22,0.28,0.24,0.35,0.41,0.42,0.39,0.08,0.07,0.37,0.32,-0.14,-0.14,0.40,0.42,0.54,0.53,0.33,0.29,0.52,0.41,0.21,0.23,0.68,0.67,0.09,0.07,0.32,0.34,0.39,0.36,0.61,0.60,0.52,0.43,,,0.27,0.52,0.30,0.35,-0.20,-0.26,0.02,-0.20,0.56,0.58,0.08,0.09,0.55,0.53,0.14,0.07,-0.11,-0.11,0.16,0.18,-0.01,0.01,-0.15,-0.30,0.60,0.62,0.46,0.46,0.45,0.40,0.61,0.60,-0.04,-0.08,0.04,0.08,0.25,0.27,0.49,0.45,0.01,-0.04,-0.08,-0.02,0.42,0.39
61,ProtSSN_ProtSSN_k30_h768,-0.02,-0.01,-0.04,0.08,0.23,0.23,0.61,0.56,0.36,0.40,0.50,0.47,0.50,0.51,0.53,0.47,0.21,0.19,0.28,0.24,0.26,0.34,0.37,0.33,0.11,0.09,0.34,0.30,-0.11,-0.10,0.52,0.55,0.50,0.49,0.14,0.10,0.53,0.43,0.20,0.23,0.68,0.67,0.12,0.09,0.35,0.37,0.37,0.33,0.65,0.63,0.38,0.32,,,0.26,0.56,0.30,0.36,-0.21,-0.26,0.01,-0.20,0.53,0.53,-0.17,-0.17,0.63,0.62,0.18,0.11,-0.15,-0.14,0.16,0.18,-0.07,-0.06,-0.20,-0.32,0.54,0.55,0.36,0.35,0.39,0.35,0.61,0.61,-0.13,-0.13,0.25,0.27,0.20,0.22,0.50,0.47,0.00,-0.04,0.19,0.20,0.36,0.34
62,ProtSSN_ProtSSN_k10_h1280,-0.29,-0.27,-0.03,0.10,0.29,0.27,0.56,0.54,0.41,0.43,0.40,0.36,0.38,0.40,0.33,0.28,0.02,0.05,0.30,0.26,0.23,0.30,0.40,0.37,-0.04,-0.06,0.33,0.31,-0.18,-0.18,0.56,0.57,0.57,0.57,0.18,0.14,0.51,0.41,0.19,0.23,0.66,0.64,0.08,0.06,0.35,0.37,0.26,0.24,0.46,0.45,0.32,0.26,,,0.31,0.57,0.25,0.33,-0.22,-0.25,-0.07,-0.24,0.31,0.33,-0.27,-0.28,0.65,0.64,0.02,-0.01,-0.14,-0.13,0.06,0.08,-0.06,-0.03,-0.30,-0.41,0.57,0.57,0.35,0.35,0.28,0.23,0.54,0.55,-0.15,-0.14,-0.03,0.07,0.19,0.21,0.53,0.47,0.05,-0.02,-0.06,-0.04,0.32,0.29
63,ProtSSN_ProtSSN_k20_h1280,-0.01,0.01,-0.02,0.13,0.30,0.29,0.57,0.55,0.45,0.47,0.33,0.30,0.42,0.45,0.51,0.44,0.29,0.29,0.35,0.31,0.18,0.27,0.42,0.38,0.12,0.10,0.33,0.30,-0.10,-0.09,0.30,0.31,0.55,0.55,0.20,0.15,0.56,0.45,0.15,0.19,0.65,0.63,0.11,0.06,0.33,0.34,0.40,0.36,0.63,0.61,0.45,0.36,,,0.25,0.56,0.22,0.29,-0.22,-0.29,0.09,-0.09,0.53,0.55,-0.08,-0.08,0.43,0.42,0.20,0.15,-0.06,-0.04,0.12,0.15,-0.03,-0.02,-0.25,-0.38,0.57,0.59,0.38,0.39,0.38,0.36,0.63,0.63,-0.18,-0.15,0.00,0.04,0.20,0.21,0.54,0.49,0.03,-0.01,0.06,0.07,0.39,0.37
64,ProtSSN_ProtSSN_k30_h1280,0.01,0.03,0.02,0.09,0.22,0.22,0.65,0.62,0.35,0.38,0.31,0.29,0.47,0.47,0.50,0.43,0.26,0.26,0.32,0.29,0.17,0.26,0.41,0.38,0.16,0.14,0.37,0.34,-0.05,-0.05,0.54,0.57,0.50,0.49,0.21,0.16,0.53,0.43,0.21,0.26,0.71,0.69,0.11,0.08,0.32,0.33,0.39,0.36,0.63,0.61,0.44,0.35,,,0.24,0.53,0.16,0.24,-0.25,-0.30,0.17,-0.04,0.70,0.70,0.07,0.07,0.63,0.63,0.32,0.29,-0.17,-0.15,0.23,0.24,0.03,0.01,-0.32,-0.43,0.60,0.61,0.39,0.40,0.33,0.28,0.58,0.58,-0.20,-0.20,0.25,0.27,0.19,0.21,0.55,0.49,-0.02,-0.05,0.27,0.27,0.36,0.34
65,ProtSSN_ProtSSN_ensemble,-0.02,-0.01,-0.04,0.08,0.25,0.25,0.63,0.61,0.39,0.42,0.41,0.38,0.45,0.46,0.51,0.44,0.15,0.16,0.31,0.27,0.24,0.31,0.40,0.36,0.09,0.07,0.35,0.31,-0.12,-0.12,0.49,0.50,0.54,0.53,0.20,0.16,0.53,0.43,0.23,0.26,0.69,0.67,0.10,0.07,0.35,0.36,0.37,0.33,0.63,0.62,0.45,0.36,,,0.28,0.55,0.24,0.31,-0.22,-0.27,0.04,-0.15,0.55,0.56,-0.06,-0.05,0.64,0.63,0.23,0.16,-0.08,-0.08,0.18,0.20,-0.02,-0.01,-0.25,-0.39,0.58,0.60,0.38,0.38,0.40,0.35,0.60,0.60,-0.14,-0.15,0.12,0.18,0.21,0.22,0.52,0.47,0.02,-0.03,0.06,0.09,0.39,0.36
66,RITA_large_RITA_score,-0.56,-0.52,-0.09,0.06,-0.01,0.02,0.61,0.57,0.29,0.39,0.29,0.28,0.25,0.34,0.06,0.10,0.65,0.61,0.08,-0.01,-0.00,0.09,0.14,0.10,-0.03,-0.03,-0.16,-0.17,-0.17,-0.15,0.32,0.36,0.26,0.29,0.11,0.09,0.35,0.27,0.14,0.13,0.46,0.43,-0.00,-0.03,0.25,0.32,0.00,-0.03,-0.07,-0.04,0.29,0.26,,,0.18,0.44,0.27,0.30,-0.27,-0.28,-0.14,-0.02,0.20,0.22,-0.48,-0.49,0.44,0.45,0.51,0.45,-0.03,-0.05,-0.34,-0.31,-0.19,-0.18,-0.09,-0.17,0.53,0.51,0.13,0.09,0.06,0.07,0.24,0.22,0.15,0.10,-0.64,-0.49,0.10,0.13,0.39,0.32,0.28,0.26,0.10,0.08,0.26,0.25
67,RITA_medium_RITA_score,-0.36,-0.36,-0.16,-0.01,0.10,0.14,0.62,0.58,0.05,0.14,0.32,0.30,0.23,0.36,0.08,0.14,0.57,0.52,0.15,0.07,-0.08,-0.00,-0.01,-0.06,-0.07,-0.05,-0.10,-0.13,-0.20,-0.19,-0.09,-0.08,0.14,0.18,0.06,0.04,0.41,0.32,0.22,0.25,0.52,0.49,0.01,-0.03,0.32,0.37,0.00,-0.04,-0.01,-0.01,0.21,0.20,,,0.07,0.35,-0.06,-0.02,-0.27,-0.26,-0.39,-0.25,0.28,0.29,0.00,-0.02,0.44,0.43,0.62,0.58,-0.11,-0.11,-0.21,-0.18,-0.19,-0.17,-0.49,-0.52,0.60,0.60,-0.04,-0.06,0.16,0.13,0.21,0.22,0.05,0.02,-0.65,-0.50,0.10,0.13,0.34,0.23,0.05,0.05,0.01,-0.03,0.12,0.11
68,RITA_small_RITA_score,0.00,0.00,-0.15,-0.03,-0.13,-0.12,0.55,0.55,-0.18,-0.11,0.31,0.28,0.34,0.47,0.13,0.16,0.40,0.36,0.08,-0.01,-0.05,0.03,-0.02,-0.07,-0.26,-0.23,0.28,0.23,0.21,0.24,-0.07,-0.06,0.30,0.32,0.04,0.02,0.33,0.26,0.08,0.04,0.51,0.50,0.03,-0.01,0.10,0.14,0.11,0.07,0.02,0.01,-0.13,-0.09,,,0.24,0.49,0.34,0.42,-0.33,-0.34,-0.15,-0.06,0.20,0.20,-0.27,-0.28,0.39,0.41,0.55,0.50,0.10,0.06,-0.23,-0.20,-0.22,-0.19,-0.37,-0.43,0.47,0.47,-0.07,-0.09,0.21,0.18,-0.01,-0.02,0.11,0.08,-0.40,-0.44,-0.06,-0.02,0.32,0.27,0.11,0.06,0.02,-0.03,0.15,0.13
69,RITA_xlarge_RITA_score,-0.52,-0.49,-0.16,-0.09,0.21,0.24,0.58,0.55,0.28,0.37,0.27,0.25,0.27,0.36,0.07,0.12,0.55,0.51,0.09,0.00,-0.02,0.05,0.09,0.06,-0.08,-0.07,-0.19,-0.21,-0.10,-0.10,0.24,0.23,0.21,0.23,0.13,0.11,0.38,0.30,0.28,0.31,0.53,0.52,-0.05,-0.08,0.31,0.35,-0.06,-0.12,0.10,0.12,0.32,0.28,,,0.25,0.45,0.28,0.36,-0.30,-0.31,-0.32,-0.26,0.23,0.23,-0.41,-0.40,0.55,0.54,0.45,0.42,-0.08,-0.12,-0.20,-0.15,-0.03,-0.04,-0.35,-0.42,0.50,0.47,0.27,0.22,0.14,0.14,0.34,0.32,0.12,0.10,-0.71,-0.61,0.10,0.14,0.35,0.27,0.15,0.11,-0.04,-0.05,0.22,0.20
70,SaProt_SaProt_35M_AF2_SaProt_score,0.28,0.27,0.29,0.38,0.02,0.04,0.68,0.67,0.60,0.61,0.51,0.48,0.60,0.65,0.46,0.45,0.45,0.41,0.32,0.25,0.40,0.46,0.45,0.42,0.06,0.05,0.40,0.37,0.19,0.20,0.47,0.47,0.39,0.41,0.12,0.08,0.54,0.44,0.43,0.44,0.65,0.65,0.08,0.08,0.39,0.44,0.29,0.26,0.65,0.65,0.67,0.64,,,0.23,0.44,0.22,0.31,-0.35,-0.39,0.57,0.65,0.45,0.46,-0.14,-0.15,0.78,0.79,0.58,0.55,0.40,0.34,0.19,0.21,0.13,0.12,-0.04,-0.16,0.35,0.31,0.49,0.53,0.53,0.50,0.62,0.62,0.17,0.11,0.32,0.20,0.14,0.17,0.41,0.28,0.72,0.71,0.63,0.59,0.54,0.51
71,SaProt_SaProt_650M_AF2_SaProt_score,-0.03,-0.03,0.13,0.19,0.38,0.38,0.56,0.53,0.43,0.45,0.31,0.31,0.32,0.42,0.45,0.36,0.36,0.37,0.40,0.36,0.34,0.40,0.43,0.41,0.07,0.06,0.51,0.47,0.22,0.23,0.64,0.68,0.52,0.54,0.11,0.10,0.53,0.43,0.26,0.28,0.71,0.70,0.20,0.19,0.36,0.41,0.07,0.04,0.58,0.54,0.35,0.27,,,0.43,0.55,0.20,0.27,-0.26,-0.30,0.22,0.06,0.37,0.34,-0.26,-0.27,0.60,0.59,0.25,0.21,0.29,0.21,0.21,0.22,0.25,0.23,-0.13,-0.24,0.51,0.45,0.60,0.63,0.21,0.16,0.62,0.62,-0.11,-0.10,-0.06,-0.00,0.28,0.29,0.61,0.58,0.23,0.14,0.44,0.36,0.26,0.24
72,TranceptEVE_TranceptEVE_L_avg_score_L_to_R,0.04,0.03,-0.06,0.04,0.37,0.39,0.36,0.33,0.38,0.41,0.46,0.43,0.17,0.26,0.30,0.21,0.40,0.35,0.35,0.33,0.08,0.11,0.30,0.28,-0.01,-0.02,0.18,0.16,0.20,0.22,0.34,0.35,0.28,0.31,0.15,0.11,0.55,0.45,0.32,0.34,0.60,0.61,-0.01,-0.05,0.42,0.44,0.27,0.22,0.28,0.32,0.34,0.30,,,0.35,0.54,-0.14,-0.04,-0.29,-0.34,0.46,0.27,0.38,0.39,-0.39,-0.39,0.63,0.62,0.53,0.51,0.13,0.08,-0.16,-0.15,0.23,0.17,-0.13,-0.19,0.52,0.52,0.41,0.42,0.33,0.27,0.56,0.55,-0.01,-0.00,0.13,0.19,0.28,0.29,0.41,0.30,0.08,-0.01,0.23,0.22,0.29,0.28
73,TranceptEVE_TranceptEVE_L_avg_score_R_to_L,0.06,0.06,-0.09,0.04,0.42,0.43,0.22,0.22,0.37,0.39,0.38,0.36,0.32,0.38,0.26,0.17,0.48,0.43,0.46,0.43,0.03,0.10,0.28,0.25,-0.01,-0.02,0.14,0.11,0.32,0.36,0.39,0.41,0.25,0.28,0.10,0.05,0.48,0.37,0.26,0.27,0.63,0.63,-0.05,-0.08,0.40,0.43,0.23,0.19,0.28,0.32,0.39,0.36,,,0.42,0.58,-0.16,-0.07,-0.27,-0.31,0.28,0.02,0.50,0.53,-0.55,-0.54,0.51,0.51,0.56,0.53,0.11,0.08,-0.07,-0.05,0.24,0.19,-0.09,-0.15,0.54,0.55,0.45,0.47,0.27,0.23,0.52,0.51,-0.08,-0.05,-0.16,-0.11,0.14,0.16,0.31,0.22,0.11,-0.00,0.15,0.12,0.27,0.27
74,TranceptEVE_TranceptEVE_L_avg_score,0.05,0.04,-0.08,0.04,0.41,0.42,0.30,0.29,0.38,0.40,0.42,0.40,0.26,0.33,0.28,0.19,0.43,0.39,0.41,0.38,0.05,0.10,0.30,0.27,-0.01,-0.02,0.16,0.13,0.26,0.29,0.37,0.38,0.27,0.30,0.13,0.08,0.52,0.41,0.30,0.31,0.62,0.62,-0.03,-0.06,0.42,0.44,0.25,0.21,0.28,0.32,0.37,0.33,,,0.39,0.57,-0.15,-0.06,-0.28,-0.32,0.37,0.14,0.44,0.46,-0.51,-0.51,0.59,0.58,0.55,0.53,0.12,0.08,-0.13,-0.12,0.24,0.18,-0.11,-0.18,0.54,0.54,0.43,0.45,0.30,0.25,0.54,0.53,-0.05,-0.02,-0.01,0.05,0.19,0.21,0.35,0.25,0.09,-0.01,0.19,0.17,0.29,0.28
75,TranceptEVE_TranceptEVE_M_avg_score_L_to_R,0.15,0.14,-0.04,0.03,0.38,0.38,0.07,0.07,0.40,0.43,0.50,0.47,0.20,0.30,0.29,0.20,0.53,0.48,0.30,0.26,0.21,0.23,0.36,0.32,0.08,0.07,0.20,0.17,0.29,0.32,0.41,0.42,0.29,0.33,0.16,0.10,0.52,0.42,0.38,0.42,0.61,0.62,-0.01,-0.06,0.43,0.47,0.19,0.15,0.29,0.34,0.35,0.31,,,0.38,0.59,-0.09,0.00,-0.28,-0.31,0.21,0.05,0.49,0.53,-0.30,-0.30,0.62,0.61,0.53,0.51,0.11,0.08,0.27,0.28,0.25,0.19,-0.12,-0.18,0.55,0.56,0.40,0.39,0.27,0.21,0.54,0.53,-0.02,-0.00,0.24,0.30,0.33,0.34,0.39,0.29,0.11,0.03,0.25,0.22,0.32,0.29
76,TranceptEVE_TranceptEVE_M_avg_score_R_to_L,0.13,0.11,-0.12,-0.03,0.40,0.41,0.33,0.34,0.38,0.41,0.33,0.32,0.22,0.31,0.27,0.19,0.50,0.46,0.45,0.42,0.06,0.13,0.30,0.27,-0.12,-0.11,0.02,-0.01,0.27,0.31,0.32,0.33,0.29,0.31,0.15,0.11,0.48,0.38,0.29,0.32,0.63,0.64,-0.03,-0.05,0.38,0.41,0.26,0.23,0.31,0.34,0.35,0.32,,,0.40,0.58,-0.11,-0.04,-0.26,-0.31,0.31,0.11,0.54,0.57,-0.50,-0.51,0.59,0.59,0.48,0.46,0.12,0.08,0.27,0.28,0.26,0.20,-0.21,-0.24,0.55,0.56,0.50,0.53,0.30,0.26,0.56,0.55,-0.11,-0.06,0.09,0.16,0.28,0.30,0.40,0.31,0.14,0.02,0.28,0.26,0.26,0.26
77,TranceptEVE_TranceptEVE_M_avg_score,0.14,0.13,-0.09,-0.00,0.39,0.40,0.20,0.19,0.39,0.42,0.42,0.40,0.21,0.31,0.28,0.19,0.51,0.47,0.37,0.34,0.10,0.15,0.33,0.30,-0.04,-0.04,0.12,0.09,0.29,0.32,0.38,0.39,0.30,0.33,0.15,0.10,0.51,0.40,0.35,0.37,0.62,0.63,-0.01,-0.06,0.41,0.45,0.24,0.20,0.30,0.34,0.36,0.32,,,0.39,0.59,-0.10,-0.02,-0.27,-0.31,0.27,0.09,0.53,0.56,-0.44,-0.45,0.61,0.60,0.51,0.49,0.12,0.08,0.27,0.28,0.25,0.19,-0.17,-0.22,0.55,0.56,0.45,0.46,0.28,0.23,0.55,0.54,-0.07,-0.03,0.16,0.23,0.31,0.32,0.41,0.32,0.13,0.02,0.27,0.24,0.29,0.28
78,TranceptEVE_TranceptEVE_S_avg_score_L_to_R,0.16,0.15,0.01,0.11,0.38,0.39,0.19,0.20,0.46,0.48,0.32,0.31,0.16,0.28,0.26,0.18,0.41,0.37,0.15,0.11,0.22,0.26,0.33,0.29,-0.08,-0.09,0.20,0.16,0.27,0.30,0.34,0.34,0.22,0.26,0.15,0.09,0.52,0.42,0.32,0.32,0.62,0.62,0.01,-0.02,0.39,0.42,0.35,0.32,0.27,0.31,0.35,0.31,,,0.39,0.59,-0.21,-0.13,-0.32,-0.36,0.18,-0.05,0.53,0.56,-0.33,-0.31,0.51,0.50,0.53,0.50,0.03,0.01,0.28,0.28,0.24,0.18,0.06,-0.01,0.55,0.58,0.38,0.42,0.22,0.15,0.55,0.55,-0.01,0.01,0.32,0.33,0.30,0.31,0.49,0.40,0.07,0.01,0.32,0.26,0.42,0.39
79,TranceptEVE_TranceptEVE_S_avg_score_R_to_L,0.14,0.12,-0.05,0.08,0.35,0.35,0.29,0.29,0.41,0.44,0.36,0.35,0.10,0.17,0.24,0.15,0.45,0.42,0.48,0.47,0.07,0.13,0.30,0.27,-0.05,-0.05,0.18,0.16,0.34,0.37,0.41,0.42,0.39,0.40,0.12,0.07,0.49,0.36,0.29,0.31,0.59,0.59,-0.04,-0.06,0.44,0.47,0.32,0.29,0.29,0.33,0.35,0.33,,,0.42,0.63,-0.09,-0.01,-0.29,-0.33,0.15,-0.08,0.45,0.48,-0.47,-0.48,0.49,0.49,0.57,0.54,0.08,0.05,0.26,0.26,0.25,0.20,-0.21,-0.26,0.54,0.55,0.49,0.51,0.26,0.24,0.55,0.54,-0.08,-0.04,-0.01,0.02,0.29,0.31,0.41,0.33,0.01,-0.06,0.30,0.27,0.38,0.35
80,TranceptEVE_TranceptEVE_S_avg_score,0.15,0.14,-0.03,0.09,0.36,0.37,0.24,0.24,0.44,0.47,0.36,0.35,0.13,0.23,0.25,0.17,0.44,0.40,0.35,0.33,0.12,0.17,0.32,0.28,-0.07,-0.07,0.19,0.16,0.30,0.34,0.38,0.39,0.31,0.34,0.14,0.08,0.52,0.40,0.31,0.32,0.60,0.61,-0.01,-0.04,0.42,0.45,0.34,0.31,0.28,0.32,0.35,0.33,,,0.40,0.62,-0.15,-0.07,-0.31,-0.35,0.16,-0.07,0.50,0.53,-0.41,-0.41,0.50,0.49,0.56,0.53,0.06,0.03,0.27,0.27,0.25,0.19,-0.09,-0.16,0.55,0.57,0.44,0.47,0.24,0.18,0.55,0.55,-0.06,-0.02,0.16,0.19,0.30,0.31,0.45,0.37,0.04,-0.03,0.32,0.27,0.41,0.38
81,Tranception_Tranception_L_avg_score_L_to_R,0.10,0.08,-0.07,0.09,0.36,0.39,0.53,0.49,0.40,0.44,0.28,0.26,0.24,0.36,0.26,0.18,0.49,0.44,0.21,0.14,0.13,0.15,0.20,0.17,-0.00,-0.01,0.19,0.16,0.05,0.08,0.24,0.27,0.16,0.21,0.19,0.15,0.56,0.45,0.28,0.31,0.50,0.53,-0.03,-0.06,0.41,0.43,0.17,0.11,0.27,0.28,0.26,0.24,,,0.11,0.15,-0.14,-0.04,-0.29,-0.33,0.53,0.42,0.32,0.32,-0.51,-0.50,0.66,0.66,0.58,0.57,0.14,0.08,-0.32,-0.30,0.08,0.04,-0.39,-0.41,0.50,0.48,0.44,0.46,0.38,0.31,0.55,0.54,-0.04,-0.01,0.04,0.06,0.14,0.15,0.37,0.26,0.14,0.07,0.21,0.21,0.28,0.26
82,Tranception_Tranception_L_avg_score_R_to_L,0.08,0.07,-0.09,0.12,0.38,0.40,0.49,0.46,0.36,0.39,0.23,0.21,0.42,0.48,0.25,0.17,0.61,0.55,0.38,0.32,0.04,0.14,0.23,0.19,0.02,0.01,0.17,0.14,0.20,0.24,0.26,0.28,0.16,0.20,0.14,0.10,0.52,0.39,0.03,0.05,0.59,0.60,-0.04,-0.05,0.36,0.39,0.17,0.13,0.30,0.31,0.38,0.36,,,0.35,0.49,-0.12,-0.04,-0.30,-0.32,0.35,0.19,0.35,0.37,-0.61,-0.59,0.56,0.57,0.57,0.54,0.09,0.05,-0.21,-0.17,0.09,0.05,-0.30,-0.33,0.48,0.45,0.43,0.43,0.16,0.13,0.51,0.49,0.02,0.02,-0.27,-0.26,-0.00,0.02,0.28,0.19,0.12,0.01,0.08,0.06,0.34,0.32
83,Tranception_Tranception_L_avg_score,0.09,0.07,-0.09,0.11,0.38,0.40,0.59,0.56,0.39,0.42,0.24,0.22,0.37,0.45,0.26,0.18,0.55,0.50,0.29,0.22,0.07,0.15,0.22,0.18,0.01,-0.00,0.18,0.15,0.11,0.15,0.25,0.28,0.17,0.21,0.18,0.14,0.54,0.42,0.17,0.18,0.55,0.57,-0.03,-0.06,0.41,0.43,0.19,0.14,0.29,0.30,0.32,0.29,,,0.24,0.38,-0.13,-0.04,-0.30,-0.32,0.45,0.31,0.34,0.36,-0.61,-0.60,0.63,0.64,0.58,0.56,0.12,0.06,-0.29,-0.26,0.09,0.04,-0.34,-0.37,0.50,0.48,0.44,0.45,0.29,0.24,0.54,0.53,-0.02,0.00,-0.14,-0.13,0.03,0.05,0.31,0.21,0.13,0.03,0.14,0.12,0.31,0.29
